station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day
9,2012-01-01,34.0,19.0,26.5,,17.0,23.0,38.0,0.0,,,UP,0.0,0.005,29.34,30.09,22.8,30.0,22.5,2012,1,1
9,2012-01-02,21.0,11.0,16.0,,8.0,15.0,49.0,0.0,,,SN UP,0.0,0.005,29.67,30.44,14.4,32.0,14.7,2012,1,2
9,2012-01-03,28.0,10.0,19.0,,11.0,18.0,46.0,0.0,,,MD,0.0,0.0,29.26,30.12,8.9,16.0,9.2,2012,1,3
9,2012-01-04,39.0,20.0,29.5,,22.0,26.0,35.0,0.0,,,BR,0.0,0.0,29.26,30.06,2.8,28.0,5.2,2012,1,4
9,2012-01-05,46.0,21.0,33.5,,28.0,32.0,31.0,0.0,,,BR,0.0,0.0,28.95,29.73,0.9,17.0,2.1,2012,1,5
9,2012-01-06,47.0,34.0,40.5,,28.0,36.0,24.0,0.0,,,MD,0.0,0.0,29.0,29.75,9.3,28.0,9.5,2012,1,6
9,2012-01-07,38.0,22.0,30.0,,21.0,26.0,35.0,0.0,,,MD,0.0,0.0,29.36,30.11,5.3,30.0,7.4,2012,1,7
9,2012-01-08,41.0,19.0,30.0,,23.0,27.0,35.0,0.0,,,BR,0.0,0.0,29.42,30.22,1.1,19.0,1.9,2012,1,8
9,2012-01-09,49.0,27.0,38.0,,25.0,33.0,27.0,0.0,,,MD,0.0,0.0,29.17,29.96,6.8,25.0,7.5,2012,1,9
9,2012-01-10,54.0,24.0,39.0,,29.0,34.0,26.0,0.0,,,BR,0.0,0.0,29.0,29.82,2.5,17.0,3.6,2012,1,10
9,2012-01-11,38.0,14.0,26.0,,22.0,25.0,39.0,0.0,,,SN BR,0.0,0.005,28.99,29.76,13.0,32.0,14.1,2012,1,11
9,2012-01-12,16.0,11.0,13.5,,5.0,12.0,51.0,0.0,,,SN,0.0,0.005,29.08,29.86,18.0,33.0,18.2,2012,1,12
9,2012-01-13,14.0,8.0,11.0,,4.0,10.0,54.0,0.0,,,SN,0.0,0.005,29.23,30.02,6.0,32.0,7.6,2012,1,13
9,2012-01-14,21.0,6.0,13.5,,9.0,13.0,51.0,0.0,,,SN BR HZ,0.0,0.01,29.31,30.1,4.7,14.0,5.3,2012,1,14
9,2012-01-15,38.0,18.0,28.0,,21.0,26.0,37.0,0.0,,,BR,0.0,0.0,29.11,29.93,11.2,14.0,11.3,2012,1,15
9,2012-01-16,32.0,20.0,26.0,,18.0,24.0,39.0,0.0,,,MD,0.0,0.0,29.1,29.88,9.8,34.0,10.4,2012,1,16
9,2012-01-17,20.0,5.0,12.5,,3.0,11.0,52.0,0.0,,,SN,0.0,0.005,29.41,30.18,12.6,32.0,13.5,2012,1,17
9,2012-01-18,26.0,-1.0,12.5,,4.0,11.0,52.0,0.0,,,SN,0.0,0.005,29.13,29.95,6.6,21.0,13.8,2012,1,18
9,2012-01-19,4.0,-11.0,-3.5,,-15.0,-4.0,68.0,0.0,,,MD,0.0,0.0,29.39,30.21,7.8,30.0,8.6,2012,1,19
9,2012-01-20,11.0,-1.0,5.0,,-1.0,4.0,60.0,0.0,,,SN,0.0,0.01,29.43,30.23,1.0,14.0,2.9,2012,1,20
9,2012-01-21,23.0,-2.0,10.5,,4.0,9.0,54.0,0.0,,,BR,0.0,0.0,29.28,30.13,9.3,15.0,9.4,2012,1,21
9,2012-01-22,27.0,21.0,24.0,,21.0,23.0,41.0,0.0,,,BR,0.0,0.0,28.84,29.65,7.1,13.0,8.6,2012,1,22
9,2012-01-23,28.0,21.0,24.5,,19.0,23.0,40.0,0.0,,,SN BR HZ,0.0,0.05,28.95,29.71,13.2,30.0,13.8,2012,1,23
9,2012-01-24,24.0,13.0,18.5,,16.0,20.0,46.0,0.0,,,SN BR HZ,0.0,0.005,29.46,30.21,3.6,27.0,5.7,2012,1,24
9,2012-01-25,33.0,23.0,28.0,,24.0,27.0,37.0,0.0,,,SN BR HZ,0.0,0.005,29.28,30.1,8.4,16.0,8.8,2012,1,25
9,2012-01-26,40.0,22.0,31.0,,24.0,28.0,34.0,0.0,,,BR,0.0,0.0,29.0,29.79,3.8,28.0,8.2,2012,1,26
9,2012-01-27,36.0,17.0,26.5,,22.0,26.0,38.0,0.0,,,SN BR UP HZ,0.0,0.02,29.07,29.84,4.7,26.0,9.9,2012,1,27
9,2012-01-28,28.0,19.0,23.5,,15.0,21.0,41.0,0.0,,,SN BR,0.0,0.005,29.21,29.98,9.9,27.0,10.2,2012,1,28
9,2012-01-29,23.0,13.0,18.0,,8.0,16.0,47.0,0.0,,,MD,0.0,0.005,29.34,30.14,4.5,29.0,8.8,2012,1,29
9,2012-01-30,42.0,20.0,31.0,,23.0,28.0,34.0,0.0,,,MD,0.0,0.005,28.92,29.75,7.5,14.0,7.6,2012,1,30
9,2012-01-31,48.0,26.0,37.0,,29.0,33.0,28.0,0.0,,,BR,0.0,0.0,29.01,29.76,6.9,28.0,7.6,2012,1,31
9,2012-02-01,34.0,31.0,32.5,,31.0,32.0,32.0,0.0,,,BR,0.0,0.0,29.34,30.11,3.5,20.0,5.8,2012,2,1
9,2012-02-02,36.0,32.0,34.0,,31.0,32.0,31.0,0.0,,,BR HZ,0.0,0.0,29.54,30.3,1.4,11.0,2.1,2012,2,2
9,2012-02-03,34.0,25.0,29.5,,28.0,30.0,35.0,0.0,,,BR HZ,0.0,0.0,29.7,30.49,4.1,6.0,4.9,2012,2,3
9,2012-02-04,36.0,23.0,29.5,,26.0,27.0,35.0,0.0,,,BR,0.0,0.0,29.6,30.41,5.5,32.0,5.8,2012,2,4
9,2012-02-05,30.0,24.0,27.0,,25.0,27.0,38.0,0.0,,,BR HZ,0.0,0.0,29.53,30.35,4.8,26.0,6.2,2012,2,5
9,2012-02-06,46.0,23.0,34.5,,26.0,31.0,30.0,0.0,,,BR,0.0,0.0,29.39,30.16,2.8,32.0,6.5,2012,2,6
9,2012-02-07,32.0,16.0,24.0,,14.0,22.0,41.0,0.0,,,MD,0.0,0.0,29.72,30.5,9.1,36.0,9.5,2012,2,7
9,2012-02-08,32.0,11.0,21.5,,2.0,18.0,43.0,0.0,,,MD,0.0,0.0,29.59,30.41,2.5,27.0,3.5,2012,2,8
9,2012-02-09,38.0,17.0,27.5,,16.0,24.0,37.0,0.0,,,MD,0.0,0.0,29.26,30.08,4.9,24.0,7.3,2012,2,9
9,2012-02-10,29.0,7.0,18.0,,-3.0,10.0,47.0,0.0,,,SN UP,0.0,0.005,29.59,30.35,17.1,34.0,17.4,2012,2,10
9,2012-02-11,21.0,2.0,11.5,,-7.0,8.0,53.0,0.0,,,MD,0.0,0.0,29.77,30.57,14.4,30.0,14.7,2012,2,11
9,2012-02-12,31.0,7.0,19.0,,0.0,14.0,46.0,0.0,,,MD,0.0,0.0,29.5,30.35,4.2,24.0,6.3,2012,2,12
9,2012-02-13,32.0,15.0,23.5,,17.0,22.0,41.0,0.0,,,SN BR HZ,0.0,0.02,29.08,29.92,5.6,16.0,5.8,2012,2,13
9,2012-02-14,33.0,22.0,27.5,,24.0,27.0,37.0,0.0,,,SN BR HZ,0.0,0.005,29.0,29.79,5.3,16.0,6.2,2012,2,14
9,2012-02-15,36.0,19.0,27.5,,26.0,29.0,37.0,0.0,,,SN BR UP HZ,0.0,0.005,29.2,29.96,1.0,19.0,2.1,2012,2,15
9,2012-02-16,40.0,23.0,31.5,,21.0,28.0,33.0,0.0,,,MD,0.0,0.0,29.29,30.07,5.7,27.0,6.2,2012,2,16
9,2012-02-17,43.0,24.0,33.5,,22.0,29.0,31.0,0.0,,,MD,0.0,0.0,29.28,30.05,5.8,31.0,8.5,2012,2,17
9,2012-02-18,37.0,18.0,27.5,,16.0,23.0,37.0,0.0,,,MD,0.0,0.0,29.44,30.22,1.6,28.0,4.1,2012,2,18
9,2012-02-19,45.0,19.0,32.0,,20.0,27.0,33.0,0.0,,,MD,0.0,0.0,29.34,30.13,6.5,16.0,7.0,2012,2,19
9,2012-02-20,44.0,27.0,35.5,,18.642857142857142,24.892857142857142,29.0,0.0,,,SN,0.0,0.14,29.12,30.097142857142863,13.7,14.0,13.8,2012,2,20
9,2012-02-21,36.0,30.0,33.0,,27.0,31.0,32.0,0.0,,,SN BR,0.0,0.05,28.79,29.59,10.4,25.0,13.0,2012,2,21
