station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day
17,2012-01-01,56.0,38.0,47.0,,23.0,37.0,18.0,0.0,,,MD,0.0,0.0,29.83,30.5,5.4,32.0,5.8,2012,1,1
17,2012-01-02,45.0,22.0,33.5,,10.0,28.0,31.0,0.0,,,MD,0.0,0.0,29.96,30.66,3.7,33.0,4.8,2012,1,2
17,2012-01-03,55.0,19.0,37.0,,18.0,31.0,28.0,0.0,,,MD,0.0,0.0,29.61,30.36,6.9,18.0,7.0,2012,1,3
17,2012-01-04,63.0,28.0,45.5,,25.0,36.0,19.0,0.0,,,RA,0.0,0.005,29.59,30.29,2.1,36.0,3.3,2012,1,4
17,2012-01-05,68.0,26.0,47.0,,26.0,38.0,18.0,0.0,,,MD,0.0,0.0,29.42,30.14,4.3,20.0,4.4,2012,1,5
17,2012-01-06,69.0,34.0,51.5,,34.0,43.0,13.0,0.0,,,MD,0.0,0.0,29.23,29.92,3.4,19.0,7.5,2012,1,6
17,2012-01-07,60.0,40.0,50.0,,25.0,39.0,15.0,0.0,,,MD,0.0,0.0,29.41,30.08,9.2,2.0,9.4,2012,1,7
17,2012-01-08,53.0,38.0,45.5,,27.0,38.0,19.0,0.0,,,MD,0.0,0.0,29.5,30.18,7.2,1.0,7.6,2012,1,8
17,2012-01-09,55.0,32.0,43.5,,26.0,36.0,21.0,0.0,,,MD,0.0,0.0,29.52,30.22,4.6,1.0,5.0,2012,1,9
17,2012-01-10,52.0,35.0,43.5,,28.0,37.0,21.0,0.0,,,MD,0.0,0.0,29.22,29.95,2.2,1.0,2.5,2012,1,10
17,2012-01-11,62.0,24.0,43.0,,27.0,35.0,22.0,0.0,,,SN BR,0.0,0.02,29.15,29.82,5.7,33.0,5.9,2012,1,11
17,2012-01-12,35.0,23.0,29.0,,7.0,22.0,36.0,0.0,,,MD,0.0,0.0,29.46,30.14,5.3,30.0,7.2,2012,1,12
17,2012-01-13,49.0,15.0,32.0,,10.0,25.0,33.0,0.0,,,MD,0.0,0.0,29.48,30.19,2.0,22.0,2.2,2012,1,13
17,2012-01-14,56.0,23.0,39.5,,19.0,31.0,25.0,0.0,,,MD,0.0,0.0,29.54,30.23,0.9,29.0,2.6,2012,1,14
17,2012-01-15,65.0,25.0,45.0,,27.0,39.0,20.0,0.0,,,MD,0.0,0.0,29.36,30.09,10.0,18.0,10.2,2012,1,15
17,2012-01-16,73.0,56.0,64.5,,50.0,56.0,0.0,0.0,,,MD,0.0,0.0,29.1,29.82,16.4,20.0,16.6,2012,1,16
17,2012-01-17,66.0,26.0,46.0,,18.0,30.0,19.0,0.0,,,MD,0.0,0.0,29.62,30.26,7.0,34.0,8.9,2012,1,17
17,2012-01-18,46.0,17.0,31.5,,17.0,28.0,33.0,0.0,,,MD,0.0,0.0,29.47,30.19,3.4,18.0,4.2,2012,1,18
17,2012-01-19,55.0,25.0,40.0,,25.0,34.0,25.0,0.0,,,MD,0.0,0.0,29.22,29.94,3.8,3.0,5.7,2012,1,19
17,2012-01-20,44.0,26.0,35.0,,26.0,31.0,30.0,0.0,,,BR HZ,0.0,0.0,29.19,29.86,6.0,1.0,6.9,2012,1,20
17,2012-01-21,42.0,20.0,31.0,,17.0,27.0,34.0,0.0,,,MD,0.0,0.0,29.33,30.05,3.4,3.0,7.5,2012,1,21
17,2012-01-22,72.0,42.0,57.0,,37.0,46.0,8.0,0.0,,,HZ DU,0.0,0.0,28.95,29.63,11.7,20.0,15.0,2012,1,22
17,2012-01-23,59.0,29.0,44.0,,24.0,36.0,21.0,0.0,,,DU,0.0,0.0,29.36,30.03,2.5,29.0,2.6,2012,1,23
17,2012-01-24,64.0,27.0,45.5,,25.0,38.0,19.0,0.0,,,RA,0.0,0.22,29.42,30.1,5.2,14.0,5.9,2012,1,24
17,2012-01-25,50.0,44.0,47.0,,40.0,43.0,18.0,0.0,,,RA BR,0.0,0.49,29.31,30.02,6.8,2.0,7.1,2012,1,25
17,2012-01-26,62.0,30.0,46.0,,31.0,41.0,19.0,0.0,,,MD,0.0,0.0,29.26,29.95,5.3,36.0,6.0,2012,1,26
17,2012-01-27,64.0,27.0,45.5,,29.0,39.0,19.0,0.0,,,MD,0.0,0.0,29.33,29.98,2.1,22.0,7.5,2012,1,27
17,2012-01-28,51.0,25.0,38.0,,18.0,31.0,27.0,0.0,,,MD,0.0,0.0,29.73,30.41,1.9,32.0,3.3,2012,1,28
17,2012-01-29,61.0,24.0,42.5,,23.0,35.0,22.0,0.0,,,MD,0.0,0.0,29.59,30.31,4.4,21.0,4.5,2012,1,29
17,2012-01-30,67.0,37.0,52.0,,36.0,45.0,13.0,0.0,,,MD,0.0,0.0,29.36,30.09,11.2,19.0,11.4,2012,1,30
17,2012-01-31,72.0,42.0,57.0,,47.0,53.0,8.0,0.0,,,MD,0.0,0.0,29.3,29.99,8.9,20.0,9.7,2012,1,31
17,2012-02-01,68.0,39.0,53.5,,31.0,43.0,11.0,0.0,,,MD,0.0,0.0,29.44,30.13,4.8,2.0,4.9,2012,2,1
17,2012-02-02,66.0,30.0,48.0,,38.0,45.0,17.0,0.0,,,MD,0.0,0.0,29.43,30.14,6.3,13.0,6.8,2012,2,2
17,2012-02-03,59.0,51.0,55.0,,47.0,51.0,10.0,0.0,,,TSRA RA BR VCTS,0.0,0.67,29.28,29.97,6.0,13.0,9.4,2012,2,3
17,2012-02-04,53.0,39.0,46.0,,36.0,41.0,19.0,0.0,,,MD,0.0,0.0,29.54,30.21,3.2,31.0,6.4,2012,2,4
17,2012-02-05,50.0,29.0,39.5,,29.0,36.0,25.0,0.0,,,MD,0.0,0.005,29.68,30.37,3.9,35.0,5.0,2012,2,5
17,2012-02-06,56.0,25.0,40.5,,26.0,34.0,24.0,0.0,,,MD,0.0,0.0,29.59,30.3,0.1,8.0,0.3,2012,2,6
17,2012-02-07,54.0,32.0,43.0,,33.0,39.0,22.0,0.0,,,MD,0.0,0.005,29.64,30.32,3.2,36.0,4.3,2012,2,7
17,2012-02-08,43.0,37.0,40.0,,31.0,36.0,25.0,0.0,,,HZ,0.0,0.0,29.75,30.45,2.2,35.0,2.4,2012,2,8
17,2012-02-09,50.0,37.0,43.5,,33.0,39.0,21.0,0.0,,,RA BR HZ,0.0,0.16,29.54,30.27,1.6,16.0,2.5,2012,2,9
17,2012-02-10,42.0,24.0,33.0,,24.0,32.0,32.0,0.0,,,MD,0.0,0.005,29.59,30.26,7.1,34.0,7.7,2012,2,10
17,2012-02-11,31.0,18.0,24.5,,6.0,19.0,40.0,0.0,,,MD,0.0,0.0,29.98,30.67,9.3,2.0,9.7,2012,2,11
17,2012-02-12,37.0,16.0,26.5,,7.0,23.0,38.0,0.0,,,SN,0.0,0.005,29.73,30.5,4.1,16.0,5.8,2012,2,12
17,2012-02-13,37.0,31.0,34.0,,30.0,33.0,31.0,0.0,,,SN BR,0.0,0.06,29.24,29.99,10.1,18.0,10.4,2012,2,13
17,2012-02-14,52.0,32.0,42.0,,34.0,38.0,23.0,0.0,,,FG+ FG BR,0.0,0.0,29.26,29.96,4.1,17.0,4.6,2012,2,14
17,2012-02-15,53.0,42.0,47.5,,44.0,46.0,17.0,0.0,,,RA FG BR,0.0,0.09,29.27,29.94,3.7,16.0,4.8,2012,2,15
